"Method","Name","Error","Occurrences"
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Los+Angeles+Daily+News+Negatives (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea08d0080>: Failed to establish a new connection: [Errno 24] Too many open files',))",9
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e89119630>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0837cc0>: Failed to establish a new connection: [Errno 110] Connection timed out',))",7
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e897e20f0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",172
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=poppy&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88a47c88>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",152
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&search_field=dummy_range&range%5Byear_isim%5D%5Bbegin%5D=1960&range%5Byear_isim%5D%5Bend%5D=2007&commit=Limit (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88bf76d8>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",145
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e73e42cf8>: Failed to establish a new connection: [Errno 24] Too many open files',))",12
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e89741208>: Failed to establish a new connection: [Errno 24] Too many open files',))",22
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0b50550>: Failed to establish a new connection: [Errno 110] Connection timed out',))",6
"GET","View Record","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9ea00a7978>: Failed to establish a new connection: [Errno 24] Too many open files',))",10
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e887f0a58>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",181
